School Name,State Name [Public School] Latest available year,Agency ID - NCES Assigned [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,American Indian/Alaska Native Students [Public School] 2020-21,Asian or Asian/Pacific Islander Students [Public School] 2020-21,Hispanic Students [Public School] 2020-21,Black or African American Students [Public School] 2020-21,White Students [Public School] 2020-21,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2020-21,Total Race/Ethnicity [Public School] 2020-21,Two or More Races Students [Public School] 2020-21,School Level (SY 2017-18 onward) [Public School] 2020-21
ALONDRA MIDDLE,California,0629850,062985012423,1,13,809,48,11,9,903,12,Middle
ALPAUGH -SENIOR HIGH,California,0602010,060201000088,–,–,97,–,7,–,105,1,High
ALPAUGH ELEMENTARY,California,0602010,060201000087,–,4,203,–,19,–,227,1,Elementary
ALPHA CHARTER,California,0612600,061260013554,0,0,26,15,12,0,66,13,Other
ALPHA CINDY AVITIA HIGH,CALIFORNIA,0601636,060163613926,–,32,472,5,3,–,515,3,High
ALPHA ELEMENTARY,California,0623340,062334009397,1,7,593,15,19,–,650,15,Elementary
ALPHA TECHNOLOGY MIDDLE,California,0612600,061260001423,–,2,35,2,30,–,73,4,Middle
ALPHA: BLANCA ALVARADO,CALIFORNIA,0602221,060222112989,2,27,316,3,10,1,360,1,Elementary
ALPHA: CORNERSTONE ACADEMY PREPARATORY,CALIFORNIA,0601671,060167112639,2,321,170,7,9,1,521,11,Elementary
ALPHA: JOSE HERNANDEZ,CALIFORNIA,0602144,060214413757,2,24,342,2,8,0,378,0,Elementary
ALPINE COUNTY OPPORTUNITY,California,0691058,069105806965,0,0,0,0,0,0,0,0,Other
ALPINE COUNTY SECONDARY COMMUNITY DAY,California,0602070,060207006968,0,0,0,0,0,0,0,0,High
ALPINE ELEMENTARY,California,0619440,061944002332,–,–,487,22,47,–,560,4,Elementary
ALPINE VISTA,California,0639870,063987013286,4,35,978,27,374,1,1442,23,Elementary
ALPS VIEW HIGH (CONTINUATION),California,0601331,060133106604,1,–,2,–,16,–,22,3,High
ALTA CALIFORNIA ELEMENTARY,California,0622710,062271012806,–,22,604,7,9,–,645,3,Elementary
ALTA ELEMENTARY,California,0619700,061970002363,–,2,325,–,19,–,352,6,Elementary
ALTA HEIGHTS ELEMENTARY,California,0626640,062664004011,1,3,153,1,166,1,339,14,Elementary
ALTA LOMA ELEMENTARY,California,0602160,060216000093,–,40,273,28,103,3,465,18,Elementary
ALTA LOMA ELEMENTARY,California,0622710,062271002808,–,1,342,43,16,–,405,3,Elementary
ALTA LOMA HIGH,California,0608160,060816000790,5,137,1377,135,725,13,2461,69,High
ALTA LOMA JUNIOR HIGH,California,0602160,060216000094,–,38,342,23,196,2,641,40,Middle
ALTA LOMA MIDDLE,California,0637530,063753006339,2,224,339,4,49,17,672,37,Middle
ALTA MESA ELEMENTARY,California,0612810,061281001439,5,26,49,1,149,1,279,48,Elementary
ALTA MURRIETA ELEMENTARY,California,0600029,060002909509,2,72,392,41,241,2,848,98,Elementary
ALTA SIERRA ELEMENTARY,California,0630930,063093008942,1,–,22,1,191,–,326,111,Elementary
ALTA SIERRA INTERMEDIATE,California,0609030,060903010202,5,185,499,35,655,6,1439,54,Middle
ALTA VISTA ACADEMY,California,0638640,063864010385,–,–,19,5,7,1,36,4,High
ALTA VISTA ALTERNATIVE HIGH,California,0601414,060141412435,1,5,54,–,45,–,109,4,High
ALTA VISTA ALTERNATIVE JUNIOR HIGH,California,0601414,060141412760,0,0,0,0,0,0,0,0,Middle
ALTA VISTA COMMUNITY CHARTER,California,0603480,060348013170,1,–,25,3,103,–,173,41,Elementary
ALTA VISTA ELEMENTARY,California,0602220,060222000098,5,2,446,–,53,7,515,2,Elementary
ALTA VISTA ELEMENTARY,California,0640320,064032006667,1,224,73,2,278,–,654,76,Elementary
ALTA VISTA ELEMENTARY,California,0600032,060003204950,1,94,117,18,271,1,581,79,Elementary
ALTA VISTA HIGH,California,0626310,062631003931,0,2,53,2,10,1,71,3,High
ALTA VISTA HIGH (CONTINUATION),California,0641190,064119006812,2,0,67,1,11,0,86,5,High
ALTA VISTA INNOVATION HIGH,CALIFORNIA,0601625,060162514154,15,12,1391,331,237,2,2067,79,High
ALTA-DUTCH FLAT ELEMENTARY,California,0602250,060225000099,–,1,9,–,69,–,82,3,Elementary
ALTADENA ELEMENTARY,California,0629940,062994004661,1,11,239,90,89,–,469,39,Elementary
ALTAMONT CREEK ELEMENTARY,California,0622110,062211008438,8,151,135,2,259,1,608,52,Elementary
ALTAMONT ELEMENTARY,CALIFORNIA,0601410,060141013781,5,297,145,28,126,7,683,75,Elementary
ALTERNATIVE EDUCATION-SAN JOAQUIN HIGH,California,0684500,068450009467,‡,‡,‡,‡,‡,‡,0,‡,Other
ALTERNATIVE FAMILY EDUCATION,California,0635600,063560007437,3,5,41,5,177,1,239,7,Other
ALTERNATIVE LEARNING ACADEMY AT CONLEY-CARABALLO HIGH,California,0626910,062691011552,0,1,5,3,0,0,9,0,High
ALTERNATIVE LEARNING CENTER,California,0634170,063417010048,0,0,28,3,1,0,32,0,Other
ALTERNATIVES IN ACTION,CALIFORNIA,0601635,060163508674,1,–,155,8,1,–,167,2,High
ALTIMIRA MIDDLE,California,0637200,063720006298,1,2,329,2,84,–,434,16,Middle
ALTURAS ELEMENTARY,California,0625190,062519003762,20,3,62,2,269,2,384,26,Elementary
ALVARADO ELEMENTARY,California,0634410,063441005583,2,15,228,9,174,1,507,78,Elementary
ALVARADO ELEMENTARY,California,0626910,062691004065,3,380,135,33,41,11,655,52,Elementary
ALVARADO ELEMENTARY,California,0622500,062250009902,–,111,177,43,18,1,369,19,Elementary
ALVARADO INTERMEDIATE,California,0633750,063375005197,–,314,353,8,15,4,708,14,Middle
ALVIEW ELEMENTARY,California,0602360,060236000125,–,1,89,–,52,–,144,2,Elementary
ALVIN ELEMENTARY,California,0605580,060558009313,4,3,901,1,5,–,920,6,Elementary
ALVIN S. HATCH ELEMENTARY,California,0606780,060678000596,–,13,350,–,179,1,563,20,Elementary
ALVINA ELEMENTARY CHARTER,California,0602370,060237000127,–,3,159,–,23,–,185,–,Elementary
ALVORD ALTERNATIVE CONTINUATION HIGH,California,0602430,060243013134,0,1,109,3,10,0,123,0,High
ALVORD CONTINUATION HIGH,California,0602430,060243000128,0,2,141,10,7,1,164,3,High
AMADOR COUNTY ROP,California,0600089,060008910738,0,0,0,0,0,0,0,0,High
AMADOR COUNTY SPECIAL EDUCATION,California,0691001,069100106970,‡,‡,‡,‡,‡,‡,0,‡,Other
AMADOR HIGH,California,0602450,060245008786,10,5,127,3,438,–,638,55,High
AMADOR VALLEY HIGH,California,0600020,060002009282,1,1262,238,22,1083,2,2744,136,High
AMANECER PRIMARY CENTER,California,0622710,062271011621,–,–,143,1,1,–,145,–,Elementary
AMARGOSA CREEK MIDDLE,California,0620880,062088008717,3,26,462,258,99,2,888,38,Middle
AMBASSADOR PHILLIP V. SANCHEZ II PUBLIC CHARTER,CALIFORNIA,0602167,060216714206,0,6,187,39,9,0,245,4,Other
AMBASSADOR SCHOOL-GLOBAL EDUCATION,California,0622710,062271012566,–,43,243,12,8,–,317,11,Elementary
AMBASSADOR-GLOBAL LEADERSHIP,California,0622710,062271012559,3,79,445,27,7,–,568,7,High
AMBLER AVENUE ELEMENTARY,California,0622710,062271002809,2,7,105,419,5,1,547,8,Elementary
AMELIA EARHART CONTINUATION,California,0622710,062271002972,–,3,61,3,3,–,71,1,High
AMELIA EARHART ELEMENTARY,California,0601770,060177000043,2,260,94,6,150,3,637,122,Elementary
AMELIA EARHART ELEMENTARY SCHOOL OF INTERNATIONAL STUDIES,California,0611110,061111008766,1,27,491,4,193,–,762,46,Elementary
AMELIA EARHART MIDDLE,California,0633150,063315005006,1,69,411,84,286,7,908,50,Middle
AMERICA'S FINEST CHARTER,CALIFORNIA,0601468,060146814198,2,15,330,84,18,8,457,–,Other
AMERICAN CANYON HIGH,California,0626640,062664012535,4,582,631,162,184,9,1705,133,High
AMERICAN CANYON MIDDLE,California,0626640,062664007575,–,341,373,71,136,6,1010,83,Middle
AMERICAN ELEMENTARY,California,0633480,063348011603,1,63,284,13,311,1,696,23,Elementary
AMERICAN HIGH,California,0614400,061440001654,7,1858,230,57,284,17,2544,91,High
AMERICAN INDIAN PUBLIC CHARTER,CALIFORNIA,0601479,060147905673,–,111,39,71,13,1,240,5,Middle
AMERICAN INDIAN PUBLIC CHARTER II,CALIFORNIA,0601880,060188012013,2,283,58,249,40,3,659,24,Elementary
AMERICAN INDIAN PUBLIC HIGH,CALIFORNIA,0602227,060222711563,–,225,75,117,23,1,446,5,High
AMERICAN LAKES,California,0600036,060003601095,7,51,296,156,50,13,646,73,Elementary
AMERICAN LEGION HIGH (CONTINUATION),California,0633840,063384005221,1,6,101,53,13,9,188,5,High
AMERICAN RIVER CHARTER,California,0605240,060524012774,7,2,23,3,276,5,331,15,Other
AMERICAN RIVER COLLEGIATE ACADEMY,CALIFORNIA,0602541,060254114490,–,5,3,1,11,–,27,7,Elementary
AMERICAN UNION ELEMENTARY,California,0601415,060141500147,–,11,235,1,54,–,305,4,Elementary
AMESTI ELEMENTARY,California,0629490,062949004534,–,6,493,1,6,–,509,3,Elementary
AMESTOY ELEMENTARY,California,0622710,062271002811,3,39,548,125,14,5,754,20,Elementary
AMISTAD HIGH (CONTINUATION),California,0611110,061111007694,0,1,188,5,18,1,216,3,High
AMY B. SEIBERT ELEMENTARY,California,0606390,060639009327,2,10,443,98,47,2,628,26,Elementary
ANACAPA MIDDLE,California,0640980,064098006743,–,19,594,12,206,–,863,32,Middle
ANAHEIM ELEMENTARY ONLINE ACADEMY,CALIFORNIA,0602610,060261014460,1,49,264,5,26,–,358,13,Elementary
ANAHEIM HIGH,California,0602630,060263000169,1,39,2640,21,62,2,2777,12,High
ANAHEIM HILLS ELEMENTARY,California,0628650,062865004418,2,144,92,4,205,–,495,48,Elementary
ANAHUACALMECAC INTERNATIONAL UNIV PREP OF N. AMERICA,CALIFORNIA,0601925,060192512271,182,1,50,1,4,–,268,30,Other
ANALY HIGH,California,0602670,060267000193,9,48,273,17,769,–,1158,42,High
ANATOLA AVENUE ELEMENTARY,California,0622710,062271002812,–,26,301,3,16,–,357,11,Elementary
ANAVERDE HILLS,California,0642120,064212010911,4,36,431,117,76,–,694,30,Elementary
ANDASOL AVENUE ELEMENTARY,California,0622710,062271002814,–,59,245,21,82,2,431,22,Elementary
ANDERSON,California,0634170,063417007342,0,2,49,15,10,0,76,0,Other
ANDERSON (ALEX) ELEMENTARY,California,0627810,062781009413,1,148,273,18,63,8,537,26,Elementary
ANDERSON (LINFORD L.) ELEMENTARY,California,0611280,061128001254,1,4,320,10,72,2,444,35,Elementary
ANDERSON COMMUNITY DAY,California,0602700,060270007439,1,–,2,–,11,–,17,3,Secondary
ANDERSON ELEMENTARY,California,0609620,060962000969,–,2,448,37,3,–,507,17,Elementary
ANDERSON ELEMENTARY,California,0642150,064215006901,1,245,234,–,21,4,519,14,Elementary
ANDERSON HEIGHTS ELEMENTARY,California,0607680,060768000734,17,21,64,4,157,2,294,29,Elementary
ANDERSON HIGH,California,0602700,060270000196,36,25,110,7,270,1,466,17,High
ANDERSON MIDDLE,California,0607680,060768000733,24,14,82,3,184,1,326,18,Middle
ANDERSON NEW TECHNOLOGY HIGH,California,0602700,060270010671,6,3,21,–,87,–,127,10,High
ANDERSON VALLEY ELEMENTARY,California,0602730,060273000198,–,–,168,2,33,–,203,–,Elementary
ANDERSON VALLEY JUNIOR-SENIOR HIGH,California,0602730,060273000199,2,–,176,1,40,–,221,2,High
ANDERSON W. CLARK MAGNET HIGH,California,0615240,061524007518,–,118,57,1,997,–,1192,19,High
ANDRES AND MARIA CARDENAS ELEMENTARY,California,0622710,062271012677,–,15,412,5,25,1,463,5,Elementary
ANDRES DUARTE ARTS ACADEMY (PK-8),California,0611520,061152001282,–,17,309,21,14,–,369,8,Elementary
ANDREW CARNEGIE MIDDLE,California,0634620,063462005760,3,41,203,25,588,4,922,58,Middle
ANDREW CARNEGIE MIDDLE,California,0622710,062271002896,1,134,382,145,26,32,736,16,Middle
ANDREW JACKSON ELEMENTARY,California,0611110,061111001227,2,5,616,3,21,–,668,21,Elementary
ANDREW JACKSON ELEMENTARY,California,0636270,063627006186,5,19,635,3,38,–,705,5,Elementary
ANDREW JACKSON ELEMENTARY,California,0635310,063531005990,4,19,610,1,3,3,640,–,Elementary
ANDREW N. CHRISTENSEN MIDDLE,California,0622110,062211002618,–,121,178,9,270,4,640,58,Middle
ANDREW P. HILL HIGH,California,0611820,061182001301,4,724,1049,48,33,7,1882,17,High
ANDROS KARPEROS,California,0643470,064347011377,5,409,458,10,170,1,1088,35,Elementary
ANGEL'S GATE (CONTINUATION),California,0622710,062271002815,2,1,67,5,5,–,82,2,High
ANGELES MESA ELEMENTARY,California,0622710,062271002816,–,–,185,112,7,–,309,5,Elementary
ANGELO RODRIGUEZ HIGH,California,0613360,061336010429,9,500,542,252,501,21,2008,183,High
ANGIER ELEMENTARY,California,0634320,063432005410,2,32,110,118,87,6,419,64,Elementary
ANIMO CITY OF CHAMPIONS CHARTER HIGH,CALIFORNIA,0602307,060230714151,–,1,155,189,4,–,353,4,High
ANIMO COMPTON CHARTER,CALIFORNIA,0602187,060218714269,0,0,118,94,3,0,222,7,High
ANIMO ELLEN OCHOA CHARTER MIDDLE,CALIFORNIA,0601658,060165812905,–,–,331,–,4,1,336,–,Middle
ANIMO FLORENCE-FIRESTONE CHARTER MIDDLE,CALIFORNIA,0602096,060209614036,–,–,416,12,–,–,428,–,Middle
ANIMO INGLEWOOD CHARTER HIGH,CALIFORNIA,0602471,060247110538,–,–,562,63,1,–,634,8,High
ANIMO JACKIE ROBINSON HIGH,CALIFORNIA,0601657,060165711636,–,–,578,40,13,–,633,2,High
ANIMO JAMES B. TAYLOR CHARTER MIDDLE,CALIFORNIA,0601960,060196012908,–,1,418,37,1,–,462,5,Middle
ANIMO JEFFERSON CHARTER MIDDLE,CALIFORNIA,0602344,060234412690,–,–,534,6,1,–,541,–,Middle
ANIMO LEADERSHIP HIGH,CALIFORNIA,0602052,060205208504,1,1,643,4,3,–,654,2,High
ANIMO LEGACY CHARTER MIDDLE,CALIFORNIA,0601624,060162412935,1,6,660,257,6,4,954,20,Middle
ANIMO MAE JEMISON CHARTER MIDDLE,CALIFORNIA,0601649,060164913787,2,–,402,81,7,–,496,4,Middle
ANIMO PAT BROWN,CALIFORNIA,0602257,060225710849,–,–,623,4,5,–,633,1,High
ANIMO RALPH BUNCHE CHARTER HIGH,CALIFORNIA,0601899,060189911635,–,1,612,2,–,–,616,1,High
ANIMO SOUTH LOS ANGELES CHARTER,CALIFORNIA,0602435,060243510836,1,–,513,129,3,–,650,4,High
ANIMO VENICE CHARTER HIGH,CALIFORNIA,0602461,060246110848,2,1,472,26,15,–,521,5,High
ANIMO WATTS COLLEGE PREPARATORY ACADEMY,CALIFORNIA,0602219,060221911640,–,–,514,63,1,–,580,2,High
ANIMO WESTSIDE CHARTER MIDDLE,CALIFORNIA,0602105,060210512631,–,1,248,91,6,5,355,4,Middle
ANN B. LEAVENWORTH,California,0614550,061455003019,2,85,671,29,31,–,823,5,Elementary
ANN SOBRATO HIGH,California,0625830,062583011453,12,295,596,23,469,3,1472,74,High
ANN SOLDO ELEMENTARY,California,0629490,062949008368,–,4,398,1,11,–,417,3,Elementary
ANN STREET ELEMENTARY,California,0622710,062271002817,–,–,62,14,3,–,80,1,Elementary
ANNA A. BORBA FUNDAMENTAL ELEMENTARY,California,0608460,060846000834,1,7,379,5,11,–,407,4,Elementary
ANNA HAUSE ELEMENTARY,California,0604290,060429012345,2,42,366,39,159,2,653,43,Elementary
ANNA KIRCHGATER ELEMENTARY,California,0612330,061233001403,2,309,230,85,42,20,740,52,Elementary
ANNA KYLE ELEMENTARY,California,0613360,061336001524,–,29,483,90,25,6,669,36,Elementary
ANNA M. GLAZIER ELEMENTARY,California,0627690,062769004167,4,14,423,10,12,–,484,21,Elementary
ANNA MCKENNEY INTERMEDIATE,California,0624090,062409003620,11,27,284,24,206,2,596,42,Middle
ANNA YATES ELEMENTARY,California,0612630,061263001425,2,58,108,227,47,7,494,45,Elementary
ANNALEE AVENUE ELEMENTARY,California,0622710,062271002818,–,9,35,174,2,2,230,8,Elementary
ANNANDALE ELEMENTARY,California,0622710,062271002819,–,6,124,–,4,–,134,–,Elementary
ANNE DARLING ELEMENTARY,California,0634590,063459005699,–,23,251,3,15,–,293,1,Elementary
ANNIE E. CHENEY KINDERGARTEN,California,0609120,060912010207,0,0,0,0,0,0,0,0,Elementary
ANNIE PENNYCOOK ELEMENTARY,California,0640740,064074006718,3,94,151,165,42,12,495,28,Elementary
ANNIE R. MITCHELL,California,0641160,064116006807,2,32,535,1,111,2,732,49,Elementary
ANSEL ADAMS,California,0622230,062223011413,2,343,205,57,19,11,684,47,Elementary
ANSGAR LARSEN ELEMENTARY,California,0617850,061785002204,1,2,461,1,154,1,621,1,Elementary
ANTELOPE CREEK ELEMENTARY,California,0600013,060001300805,1,31,135,20,205,2,459,65,Elementary
ANTELOPE CROSSING MIDDLE,California,0611490,061149003494,4,107,205,53,417,6,879,87,Middle
ANTELOPE ELEMENTARY,California,0619440,061944002333,1,1,241,8,14,–,271,6,Elementary
ANTELOPE ELEMENTARY,California,0611870,061187001323,6,–,37,2,84,–,130,1,Elementary
ANTELOPE ELEMENTARY,California,0602760,060276000201,11,3,106,1,315,1,450,13,Elementary
ANTELOPE HIGH,California,0633630,063363012310,10,274,426,143,768,21,1861,219,High
ANTELOPE HILLS ELEMENTARY,California,0600029,060002911044,2,54,293,41,333,2,803,78,Elementary
ANTELOPE MEADOWS ELEMENTARY,California,0611490,061149010268,2,72,185,36,335,5,723,88,Elementary
ANTELOPE VALLEY HIGH,California,0602820,060282000203,5,9,891,397,71,4,1447,70,High
ANTELOPE VALLEY LEARNING ACADEMY,CALIFORNIA,0601854,060185412022,3,4,1083,197,179,8,1538,64,Other
ANTELOPE VALLEY ROP,California,0600112,060011210925,0,0,0,0,0,0,0,0,High
ANTHONY C. TRAINA ELEMENTARY,California,0618840,061884011411,4,172,271,48,146,9,697,47,Elementary
ANTHONY G. BACICH ELEMENTARY,California,0619380,061938002327,–,19,89,3,354,–,566,101,Elementary
ANTHONY SPANGLER ELEMENTARY,California,0624500,062450003675,4,461,116,15,35,6,680,43,Elementary
ANTHONY W. OCHOA MIDDLE,California,0616740,061674009847,2,112,295,50,16,26,520,19,Middle
ANTIOCH CHARTER ACADEMY,CALIFORNIA,0602027,060202707493,–,35,65,18,68,1,194,7,Elementary
ANTIOCH CHARTER ACADEMY II,CALIFORNIA,0601822,060182211984,2,11,65,19,78,4,199,20,Elementary
ANTIOCH HIGH,California,0602850,060285000207,12,102,1090,393,290,28,1989,74,High
ANTIOCH MIDDLE,California,0602850,060285000208,5,34,520,177,64,9,848,39,Middle
ANZA ELEMENTARY,California,0606810,060681000603,–,25,130,26,274,2,503,46,Elementary
ANZA ELEMENTARY,California,0639420,063942006550,–,247,121,11,168,1,642,94,Elementary
ANZAR HIGH,California,0691136,069113603761,3,6,223,1,80,–,328,15,High
APEX ACADEMY,CALIFORNIA,0601761,060176112312,–,6,332,4,8,1,352,1,High
APOLLO HIGH,California,0636840,063684006245,0,2,63,1,19,0,87,2,High
APOLLO HIGH,California,0611820,061182006643,–,9,124,2,–,1,136,–,High
APPERSON STREET ELEMENTARY,California,0622710,062271002820,–,18,182,5,188,–,406,13,Elementary
APPLE BLOSSOM,California,0640230,064023006652,2,4,83,1,243,–,355,22,Elementary
APPLE PIE PRESCHOOL,CALIFORNIA,0607530,060753014185,†,†,†,†,†,†,†,†,Not Reported
APPLE VALLEY HIGH,California,0600017,060001709098,8,62,1018,130,852,8,2116,38,High
APPLE VALLEY UNIFIED PRESCHOOL SPECIAL EDUCATION,California,0600017,060001713290,†,†,†,†,†,†,†,†,Not Reported
APPLIED TECHNOLOGY CENTER,California,0625470,062547012972,–,7,486,–,9,–,508,6,High
APRICOT VALLEY ELEMENTARY,California,0630030,063003011495,3,60,420,62,74,21,696,56,Elementary
APRIL LANE ELEMENTARY,California,0643470,064347007029,3,100,206,20,87,1,454,37,Elementary
APTITUD COMMUNITY ACADEMY AT GOSS,California,0602310,060231000106,1,51,370,6,5,–,435,2,Elementary
APTOS HIGH,California,0629490,062949004535,6,52,614,17,718,5,1435,23,High
APTOS JUNIOR HIGH,California,0629490,062949004536,2,11,311,6,273,–,624,21,Middle
APTOS MIDDLE,California,0634410,063441005585,2,410,202,67,151,9,939,98,Middle
ARAGON AVENUE ELEMENTARY,California,0622710,062271002821,1,3,214,2,3,1,228,4,Elementary
ARAGON HIGH,California,0634980,063498005919,2,522,461,7,476,45,1733,220,High
ARARAT CHARTER,CALIFORNIA,0601742,060174212437,–,–,52,2,286,–,340,–,Elementary
ARBOGA ELEMENTARY,California,0624090,062409003621,9,38,170,11,224,3,477,22,Elementary
ARBOLITA ELEMENTARY,California,0620190,062019007589,–,15,386,1,18,–,431,11,Elementary
ARBUCKLE ALTERNATIVE HIGH (CONTINUATION),California,0630360,063036002931,0,0,6,0,1,0,7,0,High
ARBUCKLE ELEMENTARY,California,0630360,063036004734,–,5,444,4,95,–,564,16,Elementary
ARCADE FUNDAMENTAL MIDDLE,California,0634620,063462005752,4,100,142,48,221,2,546,29,Middle
ARCADIA HIGH,California,0602970,060297000223,3,2070,469,61,372,2,3032,55,High
ARCATA ELEMENTARY,California,0603000,060300000237,16,6,45,7,157,–,273,42,Elementary
ARCATA HIGH,California,0603030,060303000238,28,22,134,12,658,3,940,83,High
ARCHITECTURE CONSTRUCTION & ENGINEERING CHARTER HIGH (ACE),CALIFORNIA,0602277,060227712465,–,10,163,8,65,–,256,10,High
ARCOHE ELEMENTARY,California,0603060,060306000241,3,17,197,7,210,2,466,30,Elementary
ARDEN MIDDLE,California,0634620,063462005753,3,43,232,36,477,9,859,59,Middle
ARDENWOOD ELEMENTARY,California,0614400,061440008138,1,714,49,17,61,3,870,25,Elementary
ARDIS G. EGAN JUNIOR HIGH,California,0622650,062265002786,3,180,48,2,232,1,546,80,Middle
ARELLANES (DON JUAN BAUTISTA) ELEMENTARY,California,0605580,060558009314,1,1,264,–,6,–,274,2,Elementary
ARELLANES JUNIOR HIGH,California,0605580,060558010660,3,20,589,3,10,1,626,–,Middle
ARENA ELEMENTARY,California,0603090,060309000242,12,–,129,–,56,–,210,13,Elementary
ARENA HIGH (CONTINUATION),California,0612210,061221008826,–,1,7,2,21,1,36,4,High
ARETE CHARTER ACADEMY,CALIFORNIA,0630930,063093014123,–,1,11,–,82,–,152,58,Elementary
ARGONAUT ELEMENTARY,California,0635910,063591006147,–,249,12,–,33,–,326,32,Elementary
ARGONAUT HIGH,California,0602450,060245008787,12,11,124,5,342,3,532,35,High
ARGONNE ELEMENTARY,California,0634410,063441005586,–,140,45,8,122,2,429,112,Elementary
ARGUS HIGH (CONTINUATION),California,0608130,060813000782,3,4,202,6,34,1,254,4,High
ARISE HIGH,CALIFORNIA,0602462,060246212040,1,11,359,8,2,–,387,6,High
ARIZONA MIDDLE,California,0602430,060243000129,5,42,718,40,70,10,890,5,Middle
ARK INDEPENDENT STUDIES,California,0635600,063560007869,2,0,26,3,42,0,76,3,High
ARLANZA ELEMENTARY,California,0602430,060243000130,1,6,438,5,9,1,461,1,Elementary
ARLENE HEIN ELEMENTARY,California,0612330,061233011060,–,390,200,95,168,7,970,110,Elementary
ARLETA HIGH,California,0622710,062271011652,1,16,1201,7,24,–,1252,3,High
ARLIE F. HUTCHINSON MIDDLE,California,0627690,062769004170,2,67,425,12,99,1,634,28,Middle
ARLINGTON ELEMENTARY,California,0639420,063942006551,–,200,221,21,47,1,566,76,Elementary
ARLINGTON HEIGHTS ELEMENTARY,California,0622710,062271002825,–,2,285,38,1,–,327,1,Elementary
ARLINGTON HEIGHTS ELEMENTARY,California,0634620,063462005754,4,11,88,24,135,–,289,27,Elementary
ARLINGTON HIGH,California,0633150,063315005131,4,84,1381,84,308,8,1927,58,High
ARMA J. SHULL ELEMENTARY,California,0605610,060561000504,3,92,315,16,140,–,643,77,Elementary
ARMADA ELEMENTARY,California,0625800,062580003863,–,3,682,83,14,6,806,18,Elementary
ARMIJO HIGH,California,0613360,061336001510,10,289,1097,291,214,20,2032,111,High
ARMINTA STREET ELEMENTARY,California,0622710,062271002826,1,12,353,–,21,–,392,5,Elementary
ARMONA ELEMENTARY,California,0603180,060318000243,3,13,423,13,48,–,510,10,Elementary
ARMSTRONG ELEMENTARY,California,0631320,063132004836,–,34,191,23,18,–,291,25,Elementary
ARNOLD ADREANI ELEMENTARY,California,0612330,061233011064,3,374,133,47,174,16,831,84,Elementary
ARNOLD O. BECKMAN HIGH,California,0640150,064015010994,5,1267,627,70,805,10,2938,154,High
AROMAS,California,0691136,069113610298,–,1,239,–,73,–,343,30,Elementary
AROVISTA ELEMENTARY,California,0605880,060588000526,–,24,217,4,153,2,409,9,Elementary
ARROW HIGH (CONTINUATION),California,0608190,060819000798,0,1,43,0,16,0,60,0,High
ARROWHEAD ELEMENTARY,California,0634170,063417005345,2,2,200,51,17,–,286,14,Elementary
ARROWVIEW MIDDLE,California,0634170,063417005346,8,5,882,116,20,3,1047,13,Middle
ARROYO,CALIFORNIA,0634290,063429013998,–,37,46,–,169,–,279,27,Elementary
ARROYO ELEMENTARY,California,0636840,063684010712,–,12,165,6,26,–,218,9,Elementary
ARROYO ELEMENTARY,California,0628470,062847004387,2,12,330,3,10,1,361,3,Elementary
ARROYO ELEMENTARY,California,0631320,063132004837,–,5,487,5,11,2,516,6,Elementary
ARROYO ELEMENTARY,California,0640150,064015006633,–,84,126,1,268,1,562,82,Elementary
ARROYO GRANDE HIGH,California,0623080,062308003516,12,76,765,22,1047,5,2004,77,High
ARROYO HIGH,California,0634710,063471005845,7,574,860,85,154,34,1771,57,High
ARROYO HIGH,California,0612120,061212001363,2,513,1361,4,40,–,1924,4,High
ARROYO SECO ACADEMY,CALIFORNIA,0616080,061608014263,1,–,627,1,3,–,633,1,Elementary
ARROYO SECO ELEMENTARY,California,0622110,062211002620,3,67,182,11,296,1,636,76,Elementary
