School Name,State Name [Public School] Latest available year,Agency ID - NCES Assigned [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,American Indian/Alaska Native Students [Public School] 2020-21,Asian or Asian/Pacific Islander Students [Public School] 2020-21,Hispanic Students [Public School] 2020-21,Black or African American Students [Public School] 2020-21,White Students [Public School] 2020-21,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2020-21,Total Race/Ethnicity [Public School] 2020-21,Two or More Races Students [Public School] 2020-21,School Level (SY 2017-18 onward) [Public School] 2020-21
ALLESANDRO ELEMENTARY,California,0622710,062271002807,–,26,308,3,11,–,352,4,Elementary
ALLIANCE ALICE M. BAXTER COLLEGE-READY HIGH,CALIFORNIA,0601572,060157213099,0,8,141,12,3,1,167,2,High
ALLIANCE CINDY AND BILL SIMON TECHNOLOGY ACADEMY HIGH,CALIFORNIA,0602119,060211912567,1,–,457,54,4,–,517,1,High
ALLIANCE COLLEGE-READY MIDDLE ACADEMY 12,CALIFORNIA,0602453,060245313403,–,–,467,6,1,–,475,1,Middle
ALLIANCE COLLEGE-READY MIDDLE ACADEMY 4,CALIFORNIA,0601865,060186512528,–,–,441,5,9,–,457,2,Middle
ALLIANCE COLLEGE-READY MIDDLE ACADEMY 5,CALIFORNIA,0602139,060213912474,3,5,202,6,1,–,218,1,Middle
ALLIANCE COLLEGE-READY MIDDLE ACADEMY 8,CALIFORNIA,0601589,060158913273,–,1,421,2,4,–,429,1,Middle
ALLIANCE COLLINS FAMILY COLLEGE-READY HIGH,CALIFORNIA,0601666,060166610871,–,2,591,–,2,–,602,7,High
ALLIANCE DR. OLGA MOHAN HIGH,CALIFORNIA,0601926,060192611633,–,2,474,6,2,–,497,13,High
ALLIANCE GERTZ-RESSLER RICHARD MERKIN 6-12 COMPLEX,CALIFORNIA,0602176,060217610851,–,–,982,2,7,–,991,–,High
ALLIANCE JACK H. SKIRBALL MIDDLE,CALIFORNIA,0601694,060169411634,–,1,360,54,4,1,422,2,Middle
ALLIANCE JUDY IVIE BURTON TECHNOLOGY ACADEMY HIGH,CALIFORNIA,0601934,060193410867,1,–,588,15,6,1,613,2,High
ALLIANCE KORY HUNTER MIDDLE,CALIFORNIA,0601542,060154213487,1,–,458,5,3,–,467,–,Middle
ALLIANCE LEICHTMAN-LEVINE FAMILY FOUNDATION ENV SCI HIGH,CALIFORNIA,0601690,060169012342,2,27,330,3,5,2,384,15,High
ALLIANCE MARC & EVA STERN MATH AND SCIENCE,CALIFORNIA,0602446,060244611642,–,5,579,4,9,–,601,4,High
ALLIANCE MARGARET M. BLOOMFIELD TECHNOLOGY ACADEMY HIGH,CALIFORNIA,0601707,060170712924,–,2,552,3,5,–,575,13,High
ALLIANCE MARINE - INNOVATION AND TECHNOLOGY 6-12 COMPLEX,CALIFORNIA,0601835,060183513857,3,15,908,8,30,1,968,3,High
ALLIANCE MORGAN MCKINZIE HIGH,CALIFORNIA,0602407,060240712259,–,–,467,1,2,–,471,1,High
ALLIANCE OUCHI-O'DONOVAN 6-12 COMPLEX,CALIFORNIA,0602266,060226611641,–,–,939,41,8,–,990,2,High
ALLIANCE PATTI AND PETER NEUWIRTH LEADERSHIP ACADEMY,CALIFORNIA,0602362,060236211632,–,–,577,9,5,–,592,1,High
ALLIANCE PIERA BARBAGLIA SHAHEEN HEALTH SERVICES ACADEMY,CALIFORNIA,0601900,060190012378,1,2,404,69,2,–,486,8,High
ALLIANCE RENEE AND MEYER LUSKIN ACADEMY HIGH,CALIFORNIA,0602279,060227912848,1,–,403,97,1,1,507,4,High
ALLIANCE SUSAN AND ERIC SMIDT TECHNOLOGY HIGH,CALIFORNIA,0602190,060219012817,–,6,417,6,4,–,433,–,High
ALLIANCE TED K. TAJIMA HIGH,CALIFORNIA,0601568,060156812766,–,11,429,1,2,–,444,1,High
ALLIANCE TENNENBAUM FAMILY TECHNOLOGY HIGH,CALIFORNIA,0602289,060228912572,–,6,223,1,2,–,235,3,High
ALLIANCE VIRGIL ROBERTS LEADERSHIP ACADEMY,CALIFORNIA,0601654,060165413597,2,1,289,114,1,–,408,1,Middle
ALLISON ELEMENTARY,California,0631320,063132004835,1,6,256,6,9,–,283,5,Elementary
ALMA FUERTE PUBLIC,CALIFORNIA,0602408,060240814146,0,2,61,27,4,2,105,9,Elementary
ALMA PRESCHOOL,California,0607800,060780012607,†,†,†,†,†,†,†,†,Not Reported
ALMADEN ELEMENTARY,California,0634590,063459005698,–,22,220,7,27,4,288,8,Elementary
ALMANOR HIGH (CONTINUATION),California,0631170,063117007824,0,0,1,0,9,0,11,1,High
ALMERIA MIDDLE,California,0613920,061392009544,1,29,627,54,30,2,754,11,Middle
ALMOND ACRES CHARTER ACADEMY,CALIFORNIA,0601943,060194313176,3,–,76,2,207,–,306,18,Elementary
ALMOND ELEMENTARY,California,0613920,061392011362,1,11,440,12,18,–,487,5,Elementary
ALMOND ELEMENTARY,California,0622650,062265002782,–,105,53,2,121,–,323,42,Elementary
ALMOND GROVE ELEMENTARY,CALIFORNIA,0628080,062808013786,1,80,158,51,209,1,513,13,Elementary
ALMOND TREE MIDDLE,California,0610890,061089007504,–,42,462,–,–,–,507,3,Middle
ALMONDALE ELEMENTARY,California,0633480,063348003149,5,34,228,10,298,1,595,19,Elementary
ALOHA ELEMENTARY,California,0601620,060162000001,–,23,180,58,11,6,302,24,Elementary
