,District Name,nces_id,Dissimilarity,State,Size
108,Roseville Joint Union High,633630,0.1667997404768446,California,10571
254,Bossier Parish,2200270,0.16657168151386048,Louisiana,6450
81,Long Beach Unified,622500,0.16618298674804777,California,21819
61,Elk Grove Unified,612330,0.16601354535907023,California,20370
531,Everett School District,5302670,0.16599184630849992,Washington,5815
160,ALACHUA,1200030,0.16591248664355793,Florida,8733
269,Carroll County Public Schools,2400210,0.1658827631805378,Maryland,8006
15,Gilbert Unified District (4239),403400,0.16579526270015857,Arizona,11910
443,CORPUS CHRISTI ISD,4815270,0.16539948875925803,Texas,10621
110,Saddleback Valley Unified,633860,0.16465692265893817,California,8407
350,SEWANHAKA CENTRAL HIGH SCHOOL DISTRICT,3626520,0.16425126486704378,New York,7807
12,Buckeye Union High School District (4284),401410,0.16397066972036495,Arizona,5176
162,BREVARD,1200150,0.16303505773430851,Florida,23966
459,GRAPEVINE-COLLEYVILLE ISD,4821660,0.16297985818650124,Texas,5447
223,CHSD 155,1711370,0.16191161280802713,Illinois,5598
296,JACKSON PUBLIC SCHOOL DISTRICT,2802190,0.16133210422525357,Mississippi,6108
48,Centinela Valley Union High,607920,0.16070760742696905,California,5910
214,Hawaii Department of Education,1500030,0.15938998035932586,Hawaii,51229
349,ROCHESTER CITY SCHOOL DISTRICT,3624750,0.1591851249935076,New York,7385
77,Jurupa Unified,619260,0.15916158795786683,California,5993
358,Davidson County Schools,3701140,0.15898071147332057,North Carolina,5826
186,SANTA ROSA,1201650,0.1575511263975855,Florida,9134
118,San Marcos Unified,634880,0.15590803389911143,California,6785
294,ST. PAUL PUBLIC SCHOOL DISTRICT,2733840,0.15570676011494144,Minnesota,12101
414,Sioux Falls School District 49-5,4666270,0.1546669938650307,South Dakota,7228
454,FRISCO ISD,4820010,0.1545310350804795,TEXAS,20465
98,Palm Springs Unified,629550,0.153692789968652,California,6769
183,PASCO,1201530,0.15333559684603248,Florida,24513
348,BUFFALO CITY SCHOOL DISTRICT,3605850,0.15326313470162264,New York,10456
161,BAY,1200090,0.15325488001540627,Florida,7544
408,Lexington 01,4502700,0.1532531050073923,South Carolina,8496
401,Aiken 01,4500720,0.1530945095110593,South Carolina,6940
472,LEANDER ISD,4827030,0.15291072156286453,Texas,13531
173,LAKE,1201050,0.1527970040953858,Florida,13490
181,OSCEOLA,1201470,0.15171716308807406,Florida,23773
35,Tracy Joint Unified,600047,0.1503786838089501,California,5817
68,Fresno Unified,614550,0.15017090458357452,California,18263
327,NEW YORK CITY GEOGRAPHIC DISTRICT # 8,3600085,0.15010752299035487,New York,6745
405,Dorchester 02,4502010,0.149935414942574,South Carolina,7882
105,Rialto Unified,632370,0.14947212633226906,California,7812
507,Nebo District,4900630,0.14936510093062447,Utah,7726
114,San Dieguito Union High,634380,0.14902871972057302,California,8888
117,San Juan Unified,634620,0.14886991726323967,California,12644
36,Porterville Unified,600064,0.14798301219690785,California,6919
51,Clovis Unified,609030,0.1476934402284744,California,13138
410,Richland 01,4503360,0.14650825065542591,South Carolina,6277
521,NORFOLK CITY PBLC SCHS,5102670,0.14541722052962464,Virginia,7365
213,Rockdale County,1304410,0.1448503857810246,Georgia,5299
169,ESCAMBIA,1200510,0.14459675272824057,Florida,10999
283,Chippewa Valley Schools,2609570,0.1440410450445071,Michigan,5709
85,Merced Union High,624660,0.1438284374675798,California,11177
47,Capistrano Unified,607440,0.14378242131516608,California,15463
179,OKALOOSA,1201380,0.14339608198436013,Florida,8445
346,NEW YORK CITY GEOGRAPHIC DISTRICT #21,3600152,0.14317945008103092,New York,12040
371,Rowan-Salisbury Schools,3704050,0.14316464129173284,North Carolina,5887
239,Fort Wayne Community Schools,1803630,0.14261989112460938,Indiana,8229
306,FRANCIS HOWELL R-III,2928950,0.14196405075617813,Missouri,5305
330,NEW YORK CITY GEOGRAPHIC DISTRICT #11,3600088,0.14193152850748275,New York,8071
280,Worcester,2513230,0.1418838398345815,Massachusetts,7575
31,Lake Elsinore Unified,600027,0.14153117943831459,California,7090
520,NEWPORT NEWS CITY PBLC SCHS,5102640,0.14148985141658404,Virginia,7976
256,Calcasieu Parish,2200330,0.14123006485607575,Louisiana,8382
79,Liberty Union High,621600,0.14100991825365425,California,8275
424,Wilson County,4704550,0.1409171195652174,TENNESSEE,7090
532,Evergreen School District (Clark),5302700,0.14054016486421417,Washington,7811
270,Charles County Public Schools,2400270,0.13957964491306993,Maryland,8989
59,El Dorado Union High,612070,0.13936683462127714,California,6869
